id,title,format,owner,location,status
B001,Dune,Book,Tom,Living room shelf,Available
G004,Animal Crossing,Switch Game,Brenna,Switch game case,Available
G009,The Last of Us Part II,PS5 Game,Tom,Media cabinet,Available
A003,Harry Potter and the Sorcerer's Stone,Audiobook,Brenna,Audible,Available
D006,Blade Runner 2049,DVD,Tom,TV console drawer,Available
G012,Cyberpunk 2077,Steam Game,Tom,Steam library,Available
G015,Stardew Valley,Switch Game,Brenna,Switch game case,Available
B008,Pride and Prejudice,Book,Brenna,Bedroom bookshelf,Available
D002,The Matrix,DVD,Tom,DVD binder,Available
A010,Dune,Audiobook,Brenna,Audible,Available
G018,Red Dead Redemption 2,PS5 Game,Tom,Game shelf,Available
A005,Educated,Audiobook,Brenna,Audible,Available
B007,The Hobbit,Book,Tom,Hallway bookshelf,Available
D009,Interstellar,DVD,Tom,DVD binder,Available
A006,Becoming,Audiobook,Brenna,Audible,Available
G020,Hades,Steam Game,Tom,Steam library,Available
B014,Gone Girl,Book,Brenna,Unknown,Lost
G030,Celeste,Switch Game,Shared,Switch digital library,Available
G025,The Witcher 3,Steam Game,Shared,Steam shared library,Available
B017,The Great Gatsby,Book,Tom,Unknown,Lost
D012,Inside Out,DVD,Brenna,Kids’ movie binder,Available
A009,The Subtle Art of Not Giving a F*ck,Audiobook,Tom,Audible,Available
G022,Mario Kart,Switch Game,Shared,Switch game case,Available
